local_id,route_name,odpt_busroute_id,pattern_count,stop_pole_count
toei.to01,都01（渋谷駅前〜新橋駅前）,odpt.Busroute:Toei.T01,6,34
toei.to02,都02（大塚駅前〜錦糸町駅前）,odpt.Busroute:Toei.T02,12,72
toei.to03,都03（四谷駅〜晴海五丁目ターミナル・東京駅丸の内北口）,odpt.Busroute:Toei.T03,5,46
toei.to04,都04（豊海水産埠頭〜東京駅丸の内南口）,odpt.Busroute:Toei.T04,4,41
toei.to05-1,都05-1（晴海埠頭〜東京駅丸の内南口）,odpt.Busroute:Toei.T05-1,2,29
toei.to06,都06（渋谷駅前〜新橋駅前）,odpt.Busroute:Toei.T06,5,52
toei.to07,都07（錦糸町駅前〜門前仲町）,odpt.Busroute:Toei.To07,6,43
toei.to08,都08（日暮里駅前〜錦糸町駅前）,odpt.Busroute:Toei.T08,7,44
toei.ue23,上23（平井駅前〜上野松坂屋前）,odpt.Busroute:Toei.Ue23,6,65
toei.ue26,上26（亀戸駅前〜上野公園）,odpt.Busroute:Toei.Ue26,4,48
toei.kusa24,草24（東大島駅前〜浅草寿町）,odpt.Busroute:Toei.Kusa24,7,46
toei.gyo10,業10（新橋〜とうきょうスカイツリー駅前）,odpt.Busroute:Toei.Nari10,9,77
toei.higashi15,東15（東京駅八重洲口〜深川車庫前）,odpt.Busroute:Toei.Higashi15,3,64
toei.mon33,門33（豊海水産埠頭〜亀戸駅前）,odpt.Busroute:Toei.Mon33,5,63
toei.oji40,王40甲（西新井駅前〜池袋駅東口）,odpt.Busroute:Toei.Ou40Kou,10,57
toei.shina91,品91（品川駅港南口〜八潮パークタウン）,odpt.Busroute:Toei.Shina91,4,30
toei.hashi63,橋63（小滝橋車庫前〜新橋駅前）,odpt.Busroute:Toei.Hashi63,4,50
toei.umi01,海01（門前仲町〜東京テレポート駅前）,odpt.Busroute:Toei.KM01,10,61
toei.kyuko05,急行05（錦糸町駅前〜日本科学未来館）,odpt.Busroute:Toei.Kyuukou05,6,46
toei.kin11,錦11（亀戸駅前〜築地駅前）,odpt.Busroute:Toei.Nishiki11,4,48
toei.kin13,錦13（錦糸町駅前〜晴海埠頭・深川車庫前）,odpt.Busroute:Toei.Nishiki13,9,75
toei.kin18,錦18（錦糸町駅前〜新木場駅前・国際展示場駅前）,odpt.Busroute:Toei.Nishiki18,5,39
toei.kin25,錦25（錦糸町駅前〜葛西駅前）,odpt.Busroute:Toei.Nishiki25,9,57
toei.kin27,錦27（両国駅前〜小岩駅前）,odpt.Busroute:Toei.Nishiki27,4,60
toei.kin28,錦28（錦糸町駅前〜東大島駅前）,odpt.Busroute:Toei.Nishiki28,2,28
toei.kin37,錦37（錦糸町駅前〜青戸車庫前・新四ツ木橋）,odpt.Busroute:Toei.Nishiki37,4,46
toei.kin40,錦40（錦糸町駅前〜南千住駅東口）,odpt.Busroute:Toei.Nishiki40,2,45
toei.ryo28,両28（両国駅前〜葛西橋・臨海車庫）,odpt.Busroute:Toei.Ryou28,12,93
toei.kame21,亀21（亀戸駅前〜東陽町駅前）,odpt.Busroute:Toei.Kame21,3,45
toei.kame23,亀23（亀戸駅前〜江東高齢者医療センター）,odpt.Busroute:Toei.Kame23,3,33
toei.kame24,亀24（亀戸駅前〜葛西橋）,odpt.Busroute:Toei.Kame24,3,32
toei.kame26,亀26（亀戸駅前〜今井）,odpt.Busroute:Toei.Kame26,2,35
toei.kame29,亀29（亀戸駅前〜西葛西駅前・なぎさニュータウン）,odpt.Busroute:Toei.Kame29,4,55
toei.sato22,里22（亀戸駅前〜日暮里駅前）,odpt.Busroute:Toei.Sato22,9,51
toei.higashi22,東22（錦糸町駅前〜東京駅丸の内北口）,odpt.Busroute:Toei.Higashi22,4,52
toei.mon19,門19（門前仲町〜深川車庫・東京ビッグサイト）,odpt.Busroute:Toei.Mon19,6,51
toei.mon21,門21（門前仲町〜東大島駅前）,odpt.Busroute:Toei.Mon21,5,55
toei.ki11-kou,木11甲（木場駅前・東陽町駅前〜新木場循環・若洲キャンプ場前）,odpt.Busroute:Toei.Ki11Kou,18,45
toei.you12-1,陽12-1（東陽町駅前〜昭和大学江東豊洲病院前）,odpt.Busroute:Toei.You12-1,4,19
toei.you12-2,陽12-2（東陽町駅前〜豊洲駅前・豊洲市場）,odpt.Busroute:Toei.You12-2,2,13
toei.you20,陽20（東陽町駅前〜東大島駅前）,odpt.Busroute:Toei.You20,2,34
toei.kyuko06,急行06（森下駅前〜日本科学未来館）,odpt.Busroute:Toei.Kyuukou06,2,16
toei.chokko03,直行03（錦糸町駅前→日本科学未来館）,odpt.Busroute:Toei.Chokkou03,1,11
